transacao_id,usuario_id,data_transacao,mes_referencia,descricao_original,descricao_normalizada,valor,tipo,categoria,subcategoria,estabelecimento,forma_pagamento,parcelas,recorrente,canal,estado,cidade,split,fonte
TX000010705,USR000095,2025-07-01,2025-07,Tesouro Direto,tesouro direto,41.82,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,Tesouro Direto,DEBITO_CONTA,1,1,APP,RJ,Niteroi,VALIDATION,SINTETICO
TX000011052,USR000098,2025-07-01,2025-07,LCI-INVESTIMENTO,lci investimento,834.26,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,LCI Investimento,DEBITO_CONTA,1,1,APP,SC,Florianopolis,TEST,SINTETICO
TX000011726,USR000104,2025-07-01,2025-07,COMPRA Doacao Instituicao 5115,compra doacao instituicao 5115,1646.91,DESPESA,OUTROS,DOACAO,Doacao Instituicao,CARTAO_CREDITO,1,0,WEB,PR,Londrina,TRAIN,SINTETICO
TX000011730,USR000104,2025-07-01,2025-07,Salario Empr 551,salario empr 551,5676.92,RECEITA,RENDA,SALARIO,Salario Empresa,CREDITO_CONTA,1,1,DEPOSITO,PR,Londrina,TRAIN,SINTETICO
TX000012083,USR000107,2025-07-01,2025-07,TIM,tim,365.47,DESPESA,SERVICOS,TELEFONIA,TIM,CARTAO_CREDITO,1,1,DEBITO_AUTOMATICO,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000012087,USR000107,2025-07-01,2025-07,Aplicacao  906,aplicacao 906,118.94,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,Aplicacao CDB,DEBITO_CONTA,1,0,APP,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000012439,USR000110,2025-07-01,2025-07,Google One,google one,110.51,DESPESA,SERVICOS,ASSINATURA,Google One,PIX,1,1,ATM,GO,Goiania,TRAIN,SINTETICO
TX000013170,USR000116,2025-07-01,2025-07,Google*One,google one,30.06,DESPESA,SERVICOS,ASSINATURA,Google One,CARTAO_CREDITO,1,1,ATM,DF,Brasilia,VALIDATION,SINTETICO
TX000013174,USR000116,2025-07-01,2025-07,Oficina do Car 70,oficina do car 70,286.54,DESPESA,TRANSPORTE,MANUTENCAO_VEICULO,Oficina do Carlos,CARTAO_CREDITO,1,0,ATM,DF,Brasilia,VALIDATION,SINTETICO
TX000013389,USR000118,2025-07-01,2025-07,Havan BR,havan br,359.93,DESPESA,COMPRAS,CASA,Havan,PIX,1,0,ATM,SC,Blumenau,TEST,SINTETICO
TX000013818,USR000122,2025-07-01,2025-07,CARREFOUR,carrefour,1772.97,DESPESA,ALIMENTACAO,SUPERMERCADO,Carrefour,DEBITO_AUTOMATICO,1,0,DEBITO_AUTOMATICO,SC,Joinville,TRAIN,SINTETICO
TX000013819,USR000122,2025-07-01,2025-07,PGTO Condominio Residencial BR,pgto condominio residencial br,820.79,DESPESA,MORADIA,CONDOMINIO,Condominio Residencial,CARTAO_CREDITO,1,1,ATM,SC,Joinville,TRAIN,SINTETICO
TX000014463,USR000128,2025-07-01,2025-07,PGTO Burger King RJ,pgto burger king rj,1686.25,DESPESA,ALIMENTACAO,RESTAURANTE,Burger King,DEBITO_AUTOMATICO,1,0,DEBITO_AUTOMATICO,RS,Caxias do Sul,TRAIN,SINTETICO
TX000014723,USR000130,2025-07-01,2025-07,Salario*Empresa,salario empresa,5300.92,RECEITA,RENDA,SALARIO,Salario Empresa,CREDITO_CONTA,1,1,DEPOSITO,RJ,Niteroi,TRAIN,SINTETICO
TX000014841,USR000131,2025-07-01,2025-07,Pao de Acucar,pao de acucar,903.27,DESPESA,ALIMENTACAO,SUPERMERCADO,Pao de Acucar,PIX,1,0,WEB,SC,Florianopolis,TRAIN,SINTETICO
TX000014842,USR000131,2025-07-01,2025-07,VIVO-FIBRA,vivo fibra,1088.97,DESPESA,SERVICOS,INTERNET,Vivo Fibra,CARTAO_DEBITO,1,1,WEB,SC,Florianopolis,TRAIN,SINTETICO
TX000015197,USR000134,2025-07-01,2025-07,PlayStation Store 822,playstation store 822,107.8,DESPESA,LAZER,GAMES,PlayStation Store,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,DF,Brasilia,VALIDATION,SINTETICO
TX000016212,USR000143,2025-07-01,2025-07,PAG Credito Salario LTDA,pag credito salario ltda,5987.52,RECEITA,RENDA,SALARIO,Credito Salario,CREDITO_CONTA,1,1,DEPOSITO,PE,Recife,TRAIN,SINTETICO
TX000016213,USR000143,2025-07-01,2025-07,ESTORNO-RECEBIDO REEM,estorno recebido reem,834.02,RECEITA,RENDA,REEMBOLSO,Estorno Recebido,PIX,1,0,APP,PE,Recife,TRAIN,SINTETICO
TX000016323,USR000144,2025-07-01,2025-07,LCI*Investimento,lci investimento,446.03,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,LCI Investimento,DEBITO_CONTA,1,1,APP,RS,Porto Alegre,TRAIN,SINTETICO
TX000016422,USR000145,2025-07-01,2025-07,Casa*do*Pao*de*Queijo,casa do pao de queijo,481.82,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,BOLETO,1,0,POS,ES,Cariacica,TRAIN,SINTETICO
TX000016548,USR000146,2025-07-01,2025-07,Pao de Acucar 2884,pao de acucar 2884,516.64,DESPESA,ALIMENTACAO,SUPERMERCADO,Pao de Acucar,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,MG,Belo Horizonte,TRAIN,SINTETICO
TX000017312,USR000153,2025-07-01,2025-07,CLINICA-VIDA,clinica vida,247.12,DESPESA,SAUDE,CONSULTA,Clinica Vida,CARTAO_CREDITO,6,0,WEB,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000017518,USR000155,2025-07-01,2025-07,Course 151,course 151,1229.71,DESPESA,EDUCACAO,CURSO,Coursera,CARTAO_CREDITO,6,0,POS,DF,Brasilia,VALIDATION,SINTETICO
TX000017519,USR000155,2025-07-01,2025-07,CASA-DO-PAO-DE-QUEIJO,casa do pao de queijo,79.74,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,CARTAO_CREDITO,1,0,WEB,DF,Brasilia,VALIDATION,SINTETICO
TX000017638,USR000156,2025-07-01,2025-07,PIX Folha de Pagamento BA SALA,pix folha de pagamento ba sala,6546.58,RECEITA,RENDA,SALARIO,Folha de Pagamento,CREDITO_CONTA,1,1,DEPOSITO,SP,Sao Paulo,VALIDATION,SINTETICO
TX000017977,USR000159,2025-07-01,2025-07,Tesouro Direto,tesouro direto,374.1,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,Tesouro Direto,DEBITO_CONTA,1,1,APP,DF,Brasilia,TEST,SINTETICO
TX000018743,USR000166,2025-07-01,2025-07,Dropb 573,dropb 573,18.35,DESPESA,SERVICOS,ASSINATURA,Dropbox,CARTAO_DEBITO,1,1,WEB,PR,Maringa,TRAIN,SINTETICO
TX000018848,USR000167,2025-07-01,2025-07,CREDITO-PESSOAL,credito pessoal,271.99,DESPESA,DIVIDAS,EMPRESTIMO,Credito Pessoal,CARTAO_CREDITO,1,1,DEBITO_AUTOMATICO,SC,Blumenau,TRAIN,SINTETICO
TX000019077,USR000169,2025-07-01,2025-07,Plano PGBL BR,plano pgbl br,163.06,INVESTIMENTO,INVESTIMENTOS,PREVIDENCIA,Plano PGBL,DEBITO_CONTA,1,1,APP,BA,Salvador,TRAIN,SINTETICO
TX000019176,USR000170,2025-07-01,2025-07,Conta de Gas,conta de gas,91.02,DESPESA,MORADIA,GAS,Conta de Gas,CARTAO_DEBITO,1,0,WEB,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000019178,USR000170,2025-07-01,2025-07,MICROSOFT-365,microsoft 365,228.79,DESPESA,SERVICOS,ASSINATURA,Microsoft 365,DEBITO_AUTOMATICO,1,1,ATM,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000019181,USR000170,2025-07-01,2025-07,4dministradora Condominial 202,4dministradora condominial 202,102.45,DESPESA,MORADIA,CONDOMINIO,Administradora Condominial,PIX,1,1,ATM,GO,Aparecida de Goiania,TRAIN,SINTETICO
TX000019983,USR000177,2025-07-01,2025-07,FOLH4-DE-PAGAMENTO,folh4 de pagamento,5184.48,RECEITA,RENDA,SALARIO,Folha de Pagamento,CREDITO_CONTA,1,1,DEPOSITO,GO,Anapolis,TEST,SINTETICO
TX000020310,USR000180,2025-07-01,2025-07,4plicacao Fundo,4plicacao fundo,1487.39,INVESTIMENTO,INVESTIMENTOS,FUNDO,Aplicacao Fundo,DEBITO_CONTA,1,1,APP,CE,Juazeiro do Norte,TRAIN,SINTETICO
TX000020432,USR000181,2025-07-01,2025-07,Pneus Cen 945,pneus cen 945,2844.76,DESPESA,TRANSPORTE,MANUTENCAO_VEICULO,Pneus Center,CARTAO_CREDITO,1,0,WEB,GO,Goiania,TRAIN,SINTETICO
TX000021003,USR000186,2025-07-01,2025-07,SALARIO EMPRESA,salario empresa,3721.42,RECEITA,RENDA,SALARIO,Salario Empresa,CREDITO_CONTA,1,1,DEPOSITO,RS,Porto Alegre,TRAIN,SINTETICO
TX000021327,USR000189,2025-07-01,2025-07,Emprestimo Consignado 850,emprestimo consignado 850,112.51,DESPESA,DIVIDAS,EMPRESTIMO,Emprestimo Consignado,PIX,1,1,WEB,ES,Serra,TRAIN,SINTETICO
TX000022296,USR000198,2025-07-01,2025-07,Locador Residencia 200,locador residencia 200,62.78,DESPESA,MORADIA,ALUGUEL,Locador Residencial,PIX,1,1,ATM,CE,Fortaleza,TEST,SINTETICO
TX000022398,USR000199,2025-07-01,2025-07,Enel,enel,3210.73,DESPESA,MORADIA,ENERGIA,Enel,CARTAO_CREDITO,1,1,WEB,BA,Feira de Santana,TEST,SINTETICO
TX000023247,USR000206,2025-07-01,2025-07,Previdencia Privada PREV,previdencia privada prev,182.03,INVESTIMENTO,INVESTIMENTOS,PREVIDENCIA,Previdencia Privada,DEBITO_CONTA,1,1,APP,PE,Jaboatao,TRAIN,SINTETICO
TX000023703,USR000210,2025-07-01,2025-07,LCI Investimento 393,lci investimento 393,162.45,INVESTIMENTO,INVESTIMENTOS,RENDA_FIXA,LCI Investimento,DEBITO_CONTA,1,1,APP,PE,Recife,TRAIN,SINTETICO
TX000024170,USR000214,2025-07-01,2025-07,DEB Claro Internet LTDA,deb claro internet ltda,3616.14,DESPESA,SERVICOS,INTERNET,Claro Internet,DEBITO_AUTOMATICO,1,1,WEB,SP,Sorocaba,VALIDATION,SINTETICO
TX000024289,USR000215,2025-07-01,2025-07,C4SA-DO-PAO-DE-QUEIJO,c4sa do pao de queijo,1116.58,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,CARTAO_DEBITO,1,0,WEB,GO,Anapolis,VALIDATION,SINTETICO
TX000024520,USR000217,2025-07-01,2025-07,Hava 481,hava 481,354.33,DESPESA,COMPRAS,CASA,Havan,CARTAO_CREDITO,1,0,APP,SC,Florianopolis,TEST,SINTETICO
TX000024972,USR000221,2025-07-01,2025-07,CASA DO PAO DE QUEIJO,casa do pao de queijo,71.01,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,PIX,1,0,APP,BA,Vitoria da Conquista,TRAIN,SINTETICO
TX000025104,USR000222,2025-07-01,2025-07,KABUM,kabum,117.91,DESPESA,COMPRAS,ELETRONICOS,Kabum,CARTAO_DEBITO,1,0,APP,DF,Brasilia,TRAIN,SINTETICO
TX000025106,USR000222,2025-07-01,2025-07,FUNDO DE INVESTIMENTO,fundo de investimento,356.03,INVESTIMENTO,INVESTIMENTOS,FUNDO,Fundo de Investimento,DEBITO_CONTA,1,0,APP,DF,Brasilia,TRAIN,SINTETICO
TX000025318,USR000224,2025-07-01,2025-07,SABESP,sabesp,1697.51,DESPESA,MORADIA,AGUA,Sabesp,BOLETO,1,1,WEB,RS,Porto Alegre,TRAIN,SINTETICO
TX000025538,USR000226,2025-07-01,2025-07,ADMINISTRADORA CONDOMINIAL,administradora condominial,925.17,DESPESA,MORADIA,CONDOMINIO,Administradora Condominial,BOLETO,1,1,WEB,PE,Olinda,TRAIN,SINTETICO
TX000025673,USR000227,2025-07-01,2025-07,ENEL ENER,enel ener,224.66,DESPESA,MORADIA,ENERGIA,Enel,CARTAO_CREDITO,1,1,POS,CE,Fortaleza,TRAIN,SINTETICO
TX000025675,USR000227,2025-07-01,2025-07,CREDITO SALARIO,credito salario,12893.83,RECEITA,RENDA,SALARIO,Credito Salario,CREDITO_CONTA,1,1,DEPOSITO,CE,Fortaleza,TRAIN,SINTETICO
TX000026264,USR000232,2025-07-01,2025-07,MadeiraMadeira,madeiramadeira,368.42,DESPESA,COMPRAS,CASA,MadeiraMadeira,DEBITO_AUTOMATICO,1,0,WEB,BA,Vitoria da Conquista,TRAIN,SINTETICO
TX000027084,USR000239,2025-07-01,2025-07,PORTO-SEGURO,porto seguro,764.33,DESPESA,SERVICOS,SEGURO,Porto Seguro,CARTAO_CREDITO,1,1,POS,BA,Feira de Santana,TEST,SINTETICO
TX000027086,USR000239,2025-07-01,2025-07,Conta*de*Energia,conta de energia,145.95,DESPESA,MORADIA,ENERGIA,Conta de Energia,CARTAO_CREDITO,1,1,ATM,BA,Feira de Santana,TEST,SINTETICO
TX000027295,USR000241,2025-07-01,2025-07,COURSERA,coursera,210.0,DESPESA,EDUCACAO,CURSO,Coursera,CARTAO_DEBITO,1,0,DEBITO_AUTOMATICO,RS,Porto Alegre,TRAIN,SINTETICO
TX000027417,USR000242,2025-07-01,2025-07,Pao*de*4cucar,pao de 4cucar,1692.93,DESPESA,ALIMENTACAO,SUPERMERCADO,Pao de Acucar,CARTAO_DEBITO,1,0,ATM,RS,Porto Alegre,TRAIN,SINTETICO
TX000027965,USR000247,2025-07-01,2025-07,Salario Empres 696,salario empres 696,4706.07,RECEITA,RENDA,SALARIO,Salario Empresa,CREDITO_CONTA,1,1,DEPOSITO,PE,Recife,TRAIN,SINTETICO
TX000028168,USR000249,2025-07-01,2025-07,Starbucks,starbucks,14.07,DESPESA,ALIMENTACAO,CAFETERIA,Starbucks,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,ES,Vitoria,TRAIN,SINTETICO
TX000029054,USR000257,2025-07-01,2025-07,FOLHA-DE-PAGAMENTO,folha de pagamento,5440.78,RECEITA,RENDA,SALARIO,Folha de Pagamento,CREDITO_CONTA,1,1,DEPOSITO,MG,Belo Horizonte,TEST,SINTETICO
TX000030055,USR000266,2025-07-01,2025-07,Doacao Instituicao,doacao instituicao,1297.45,DESPESA,OUTROS,DOACAO,Doacao Instituicao,CARTAO_CREDITO,1,0,POS,PE,Recife,TRAIN,SINTETICO
TX000030840,USR000273,2025-07-01,2025-07,Casa do Pao de Queijo,casa do pao de queijo,533.5,DESPESA,ALIMENTACAO,CAFETERIA,Casa do Pao de Queijo,DEBITO_AUTOMATICO,1,0,APP,RJ,Niteroi,TRAIN,SINTETICO
TX000031303,USR000277,2025-07-01,2025-07,LANC Burger King BR,lanc burger king br,797.46,DESPESA,ALIMENTACAO,RESTAURANTE,Burger King,PIX,1,0,WEB,DF,Brasilia,TEST,SINTETICO
TX000031305,USR000277,2025-07-01,2025-07,Servico*Prestado,servico prestado,547.24,RECEITA,RENDA,FREELANCE,Servico Prestado,PIX,1,0,APP,DF,Brasilia,TEST,SINTETICO
TX000031986,USR000283,2025-07-01,2025-07,PAO DE ACUCAR,pao de acucar,582.52,DESPESA,ALIMENTACAO,SUPERMERCADO,Pao de Acucar,BOLETO,1,0,ATM,MG,Juiz de Fora,TRAIN,SINTETICO
TX000032202,USR000285,2025-07-01,2025-07,CAFE-DO-PONTO,cafe do ponto,344.26,DESPESA,ALIMENTACAO,CAFETERIA,Cafe do Ponto,CARTAO_CREDITO,1,0,WEB,DF,Brasilia,TRAIN,SINTETICO
TX000032525,USR000288,2025-07-01,2025-07,Assai*Atacadista,assai atacadista,1444.82,DESPESA,ALIMENTACAO,SUPERMERCADO,Assai Atacadista,CARTAO_CREDITO,1,0,ATM,SC,Florianopolis,TRAIN,SINTETICO
TX000032720,USR000290,2025-07-01,2025-07,Oi 762,oi 762,135.71,DESPESA,SERVICOS,TELEFONIA,Oi,CARTAO_CREDITO,1,1,DEBITO_AUTOMATICO,DF,Brasilia,TRAIN,SINTETICO
TX000032729,USR000290,2025-07-01,2025-07,Pneus Cent 290,pneus cent 290,258.51,DESPESA,TRANSPORTE,MANUTENCAO_VEICULO,Pneus Center,CARTAO_DEBITO,1,0,POS,DF,Brasilia,TRAIN,SINTETICO
TX000033198,USR000294,2025-07-01,2025-07,Zara 72 ROUP,zara 72 roup,542.28,DESPESA,COMPRAS,ROUPAS,Zara,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,GO,Aparecida de Goiania,VALIDATION,SINTETICO
TX000033443,USR000296,2025-07-01,2025-07,POSTO PETROBRAS,posto petrobras,111.22,DESPESA,TRANSPORTE,COMBUSTIVEL,Posto Petrobras,CARTAO_CREDITO,1,1,POS,PR,Maringa,VALIDATION,SINTETICO
TX000034389,USR000304,2025-07-01,2025-07,LANC Plano PGBL BR,lanc plano pgbl br,31.72,INVESTIMENTO,INVESTIMENTOS,PREVIDENCIA,Plano PGBL,DEBITO_CONTA,1,1,APP,SP,Sao Paulo,TRAIN,SINTETICO
TX000034922,USR000309,2025-07-01,2025-07,Vivo Fibra,vivo fibra,518.3,DESPESA,SERVICOS,INTERNET,Vivo Fibra,CARTAO_CREDITO,1,1,POS,CE,Caucaia,TRAIN,SINTETICO
TX000035493,USR000314,2025-07-01,2025-07,Saneamento*Municipal,saneamento municipal,358.65,DESPESA,MORADIA,AGUA,Saneamento Municipal,PIX,1,1,APP,BA,Vitoria da Conquista,VALIDATION,SINTETICO
TX000035497,USR000314,2025-07-01,2025-07,Decol 597,decol 597,870.49,DESPESA,LAZER,VIAGEM,Decolar,DEBITO_AUTOMATICO,1,0,WEB,BA,Vitoria da Conquista,VALIDATION,SINTETICO
TX000035941,USR000318,2025-07-01,2025-07,LANC iFood BR,lanc ifood br,936.37,DESPESA,ALIMENTACAO,RESTAURANTE,iFood,CARTAO_DEBITO,1,0,DEBITO_AUTOMATICO,MG,Belo Horizonte,TEST,SINTETICO
TX000036161,USR000320,2025-07-01,2025-07,Ingresso.com,ingresso com,87.44,DESPESA,LAZER,EVENTOS,Ingresso.com,PIX,1,0,APP,RS,Pelotas,TRAIN,SINTETICO
TX000036714,USR000325,2025-07-01,2025-07,Auto Cent 942,auto cent 942,469.2,DESPESA,TRANSPORTE,MANUTENCAO_VEICULO,Auto Center,DEBITO_AUTOMATICO,1,0,WEB,PE,Recife,TRAIN,SINTETICO
TX000037371,USR000331,2025-07-01,2025-07,Supermercado BH,supermercado bh,481.29,DESPESA,ALIMENTACAO,SUPERMERCADO,Supermercado BH,PIX,1,0,WEB,MG,Uberlandia,TRAIN,SINTETICO
TX000037718,USR000334,2025-07-01,2025-07,Folha*de*Pagamento,folha de pagamento,7085.0,RECEITA,RENDA,SALARIO,Folha de Pagamento,CREDITO_CONTA,1,1,DEPOSITO,GO,Goiania,VALIDATION,SINTETICO
TX000038486,USR000341,2025-07-01,2025-07,LANC Credito Salario,lanc credito salario,6822.75,RECEITA,RENDA,SALARIO,Credito Salario,CREDITO_CONTA,1,1,DEPOSITO,RJ,Rio de Janeiro,TRAIN,SINTETICO
TX000038924,USR000345,2025-07-01,2025-07,COMPR4 Claro Internet 9819,compr4 claro internet 9819,2466.87,DESPESA,SERVICOS,INTERNET,Claro Internet,CARTAO_DEBITO,1,1,POS,DF,Brasilia,TRAIN,SINTETICO
TX000039030,USR000346,2025-07-01,2025-07,Saraiva 800,saraiva 800,447.6,DESPESA,EDUCACAO,LIVROS,Saraiva,PIX,12,0,DEBITO_AUTOMATICO,PR,Curitiba,TRAIN,SINTETICO
TX000039256,USR000348,2025-07-01,2025-07,Saneamento Municipal 531,saneamento municipal 531,96.9,DESPESA,MORADIA,AGUA,Saneamento Municipal,CARTAO_CREDITO,1,1,POS,RJ,Rio de Janeiro,TRAIN,SINTETICO
TX000039373,USR000349,2025-07-01,2025-07,SUPERMERCADO BH,supermercado bh,171.9,DESPESA,ALIMENTACAO,SUPERMERCADO,Supermercado BH,CARTAO_DEBITO,1,0,POS,MG,Belo Horizonte,TRAIN,SINTETICO
TX000040068,USR000355,2025-07-01,2025-07,PGTO Carrefour LTDA,pgto carrefour ltda,237.25,DESPESA,ALIMENTACAO,SUPERMERCADO,Carrefour,CARTAO_CREDITO,1,0,DEBITO_AUTOMATICO,BA,Vitoria da Conquista,VALIDATION,SINTETICO
TX000040316,USR000357,2025-07-01,2025-07,ULTRAGAZ GAS,ultragaz gas,137.51,DESPESA,MORADIA,GAS,Ultragaz,PIX,1,1,APP,MG,Belo Horizonte,TEST,SINTETICO
TX000040562,USR000359,2025-07-01,2025-07,XBOX,xbox,784.16,DESPESA,LAZER,GAMES,Xbox,BOLETO,1,0,APP,RJ,Duque de Caxias,TEST,SINTETICO
TX000040793,USR000361,2025-07-01,2025-07,Cinem 594,cinem 594,1029.16,DESPESA,LAZER,CINEMA,Cinemark,PIX,1,0,APP,RS,Pelotas,TRAIN,SINTETICO
TX000041132,USR000364,2025-07-01,2025-07,POSTO SHELL,posto shell,362.48,DESPESA,TRANSPORTE,COMBUSTIVEL,Posto Shell,DINHEIRO,1,0,WEB,GO,Goiania,TRAIN,SINTETICO
