description,amount,date,type,payment_method,recurrent
Supermercado,762.42,2024-01-06,EXPENSE,CASH,False
Pagamento freelance,1209.18,2024-01-07,INCOME,PIX,False
Veterinario,431.45,2024-01-07,EXPENSE,BOLETO,False
Aplicativo de transporte,63.63,2024-01-07,EXPENSE,DEBIT_CARD,False
Padaria,22.27,2024-01-07,EXPENSE,PIX,False
Eletronicos,2052.13,2024-01-07,EXPENSE,DEBIT_CARD,False
Eletronicos,1491.66,2024-01-07,EXPENSE,BOLETO,False
Livraria,95.47,2024-01-07,EXPENSE,PIX,False
Streaming,41.83,2024-01-07,EXPENSE,DEBIT_CARD,True
Supermercado,173.93,2024-01-07,EXPENSE,PIX,False
Impostos e taxas,749.22,2024-01-08,EXPENSE,DEBIT_CARD,False
Academia,163.97,2024-01-08,EXPENSE,PIX,True
Salario mensal,10562.18,2024-01-08,INCOME,PIX,True
Veterinario,195.81,2024-01-08,EXPENSE,DEBIT_CARD,False
Farmacia,159.58,2024-01-08,EXPENSE,PIX,False
Farmacia,173.77,2024-01-08,EXPENSE,CREDIT_CARD,False
Combustivel,127.06,2024-01-08,EXPENSE,BOLETO,False
Estacionamento,20.52,2024-01-08,EXPENSE,BOLETO,False
Manutencao do veiculo,1165.4,2024-01-08,EXPENSE,PIX,False
Plano de celular,112.8,2024-01-08,EXPENSE,BANK_TRANSFER,True
Eletronicos,1507.37,2024-01-08,EXPENSE,CREDIT_CARD,False
Eletronicos,1618.82,2024-01-08,EXPENSE,BANK_TRANSFER,False
Padaria,12.11,2024-01-08,EXPENSE,CREDIT_CARD,False
Curso online,448.85,2024-01-09,EXPENSE,CASH,False
Loja de roupas,245.1,2024-01-09,EXPENSE,CREDIT_CARD,False
Condominio,557.36,2024-01-09,EXPENSE,BOLETO,True
Aplicativo de transporte,72.2,2024-01-09,EXPENSE,CREDIT_CARD,False
Plano de saude,579.95,2024-01-09,EXPENSE,PIX,True
Restaurante,122.62,2024-01-09,EXPENSE,DEBIT_CARD,False
Passagem aerea,1619.02,2024-01-09,EXPENSE,DEBIT_CARD,False
Supermercado,118.94,2024-01-09,EXPENSE,CREDIT_CARD,False
Conta de agua,129.94,2024-01-09,EXPENSE,CREDIT_CARD,True
Pet shop,106.62,2024-01-09,EXPENSE,CREDIT_CARD,False
Conta de energia,121.08,2024-01-09,EXPENSE,CASH,True
Dividendos,234.76,2024-01-09,INCOME,PIX,True
Combustivel,179.72,2024-01-09,EXPENSE,DEBIT_CARD,False
Delivery de comida,140.81,2024-01-09,EXPENSE,CASH,False
Plano de celular,136.51,2024-01-09,EXPENSE,PIX,False
Reembolso empresarial,826.11,2024-01-09,INCOME,PIX,False
Plano de saude,511.93,2024-01-10,EXPENSE,CASH,True
Streaming,58.13,2024-01-10,EXPENSE,BOLETO,True
Viagem e hospedagem,2039.75,2024-01-10,EXPENSE,CREDIT_CARD,False
Manutencao do veiculo,1237.63,2024-01-10,EXPENSE,BOLETO,False
Restaurante,233.06,2024-01-10,EXPENSE,BANK_TRANSFER,False
Pet shop,237.74,2024-01-10,EXPENSE,BANK_TRANSFER,False
Plano de celular,150.08,2024-01-10,EXPENSE,DEBIT_CARD,True
Plano de celular,49.63,2024-01-10,EXPENSE,BOLETO,True
Aluguel residencial,2230.04,2024-01-10,EXPENSE,BOLETO,True
Conta de agua,116.55,2024-01-10,EXPENSE,DEBIT_CARD,True
Aluguel recebido,2067.85,2024-01-10,INCOME,BANK_TRANSFER,True
Aplicativo de transporte,32.92,2024-01-10,EXPENSE,CASH,False
Eletronicos,2073.48,2024-01-10,EXPENSE,BOLETO,False
Dividendos,390.82,2024-01-11,INCOME,PIX,True
Bonus profissional,4626.55,2024-01-11,INCOME,PIX,False
Estacionamento,17.65,2024-01-11,EXPENSE,DEBIT_CARD,False
Salario mensal,4225.33,2024-01-11,INCOME,PIX,False
Aluguel residencial,3452.67,2024-01-11,EXPENSE,BOLETO,True
Aplicativo de transporte,53.71,2024-01-11,EXPENSE,PIX,False
Internet residencial,159.05,2024-01-11,EXPENSE,DEBIT_CARD,True
Cinema e lazer,69.71,2024-01-11,EXPENSE,PIX,False
Loja de roupas,431.79,2024-01-11,EXPENSE,BOLETO,False
Conta de energia,427.23,2024-01-11,EXPENSE,CREDIT_CARD,True
Padaria,27.24,2024-01-11,EXPENSE,CREDIT_CARD,False
Plano de saude,362.64,2024-01-12,EXPENSE,BOLETO,True
Reembolso empresarial,559.07,2024-01-12,INCOME,PIX,False
Reembolso empresarial,384.93,2024-01-12,INCOME,BANK_TRANSFER,False
Reembolso empresarial,431.63,2024-01-12,INCOME,BANK_TRANSFER,False
Conta de agua,80.46,2024-01-12,EXPENSE,PIX,True
Delivery de comida,56.9,2024-01-12,EXPENSE,CREDIT_CARD,False
Venda de produto,1286.7,2024-01-12,INCOME,BANK_TRANSFER,False
Passagem aerea,1376.67,2024-01-12,EXPENSE,CASH,False
Doacao,219.37,2024-01-12,EXPENSE,BOLETO,False
Combustivel,295.71,2024-01-12,EXPENSE,BOLETO,False
Aplicativo de transporte,42.57,2024-01-12,EXPENSE,BOLETO,False
Doacao,186.91,2024-01-12,EXPENSE,PIX,False
Dividendos,459.64,2024-01-13,INCOME,BANK_TRANSFER,True
Delivery de comida,89.36,2024-01-13,EXPENSE,PIX,False
Restituicao de imposto,2006.63,2024-01-13,INCOME,BANK_TRANSFER,False
Pagamento freelance,2868.38,2024-01-13,INCOME,BANK_TRANSFER,False
Plano de celular,70.1,2024-01-13,EXPENSE,PIX,False
Combustivel,312.77,2024-01-13,EXPENSE,CASH,False
Supermercado,276.63,2024-01-14,EXPENSE,CREDIT_CARD,False
Delivery de comida,56.37,2024-01-14,EXPENSE,CASH,False
Seguro do veiculo,404.97,2024-01-14,EXPENSE,DEBIT_CARD,True
Estacionamento,38.63,2024-01-14,EXPENSE,BANK_TRANSFER,False
Rendimento de investimento,271.18,2024-01-14,INCOME,BANK_TRANSFER,True
Restituicao de imposto,2229.76,2024-01-14,INCOME,BANK_TRANSFER,False
Supermercado,264.46,2024-01-14,EXPENSE,BANK_TRANSFER,False
Livraria,212.11,2024-01-14,EXPENSE,BANK_TRANSFER,False
Reembolso empresarial,347.08,2024-01-14,INCOME,BANK_TRANSFER,False
Aplicativo de transporte,15.15,2024-01-14,EXPENSE,PIX,False
Academia,130.11,2024-01-14,EXPENSE,BANK_TRANSFER,True
Livraria,197.53,2024-01-15,EXPENSE,CASH,False
Viagem e hospedagem,1941.63,2024-01-15,EXPENSE,CASH,False
Padaria,27.04,2024-01-15,EXPENSE,BOLETO,False
Venda de produto,784.6,2024-01-15,INCOME,BANK_TRANSFER,False
Aplicativo de transporte,23.19,2024-01-15,EXPENSE,BANK_TRANSFER,False
Viagem e hospedagem,946.45,2024-01-15,EXPENSE,BANK_TRANSFER,False
Internet residencial,96.73,2024-01-15,EXPENSE,CREDIT_CARD,True
Doacao,123.14,2024-01-15,EXPENSE,DEBIT_CARD,False
Plano de celular,91.86,2024-01-15,EXPENSE,CREDIT_CARD,False
Pet shop,66.3,2024-01-15,EXPENSE,BANK_TRANSFER,False
Estacionamento,14.94,2024-01-15,EXPENSE,BANK_TRANSFER,False
Farmacia,159.42,2024-01-15,EXPENSE,BANK_TRANSFER,False
Passagem aerea,1482.96,2024-01-15,EXPENSE,PIX,False
Academia,173.48,2024-01-16,EXPENSE,PIX,True
Internet residencial,76.39,2024-01-16,EXPENSE,CASH,True
Seguro do veiculo,356.45,2024-01-16,EXPENSE,BANK_TRANSFER,True
Salario mensal,6462.72,2024-01-16,INCOME,PIX,True
Plano de saude,581.36,2024-01-16,EXPENSE,DEBIT_CARD,True
Cinema e lazer,181.98,2024-01-16,EXPENSE,CREDIT_CARD,False
Padaria,29.57,2024-01-16,EXPENSE,CASH,False
Loja de roupas,334.45,2024-01-16,EXPENSE,BANK_TRANSFER,False
Curso online,338.72,2024-01-16,EXPENSE,BANK_TRANSFER,False
Seguro do veiculo,240.32,2024-01-17,EXPENSE,PIX,False
Aluguel residencial,3398.79,2024-01-17,EXPENSE,CREDIT_CARD,True
Manutencao do veiculo,894.44,2024-01-17,EXPENSE,DEBIT_CARD,False
Reembolso empresarial,415.02,2024-01-17,INCOME,BANK_TRANSFER,False
Veterinario,285.79,2024-01-17,EXPENSE,DEBIT_CARD,False
Impostos e taxas,715.7,2024-01-17,EXPENSE,BANK_TRANSFER,False
Pet shop,232.43,2024-01-17,EXPENSE,CASH,False
Bonus profissional,3787.96,2024-01-17,INCOME,PIX,False
Plano de celular,135.22,2024-01-17,EXPENSE,PIX,True
Streaming,57.56,2024-01-17,EXPENSE,DEBIT_CARD,True
Eletronicos,1850.59,2024-01-17,EXPENSE,PIX,False
Estacionamento,48.89,2024-01-18,EXPENSE,BOLETO,False
Delivery de comida,86.04,2024-01-18,EXPENSE,PIX,False
Reembolso empresarial,829.37,2024-01-18,INCOME,BANK_TRANSFER,False
Curso online,201.74,2024-01-18,EXPENSE,DEBIT_CARD,False
Doacao,200.83,2024-01-18,EXPENSE,CREDIT_CARD,False
Supermercado,196.02,2024-01-18,EXPENSE,CASH,False
Passagem aerea,1212.58,2024-01-18,EXPENSE,BANK_TRANSFER,False
Delivery de comida,70.35,2024-01-18,EXPENSE,CREDIT_CARD,False
Supermercado,262.7,2024-01-19,EXPENSE,CASH,False
Veterinario,746.38,2024-01-19,EXPENSE,DEBIT_CARD,False
Veterinario,484.04,2024-01-19,EXPENSE,PIX,False
Pagamento freelance,1414.65,2024-01-19,INCOME,PIX,False
Curso online,249.87,2024-01-19,EXPENSE,BOLETO,False
Combustivel,205.19,2024-01-19,EXPENSE,BOLETO,False
Combustivel,226.45,2024-01-19,EXPENSE,BANK_TRANSFER,False
Curso online,208.22,2024-01-19,EXPENSE,PIX,False
Bonus profissional,3524.72,2024-01-20,INCOME,BANK_TRANSFER,False
Aplicativo de transporte,35.52,2024-01-20,EXPENSE,DEBIT_CARD,False
Dividendos,564.33,2024-01-20,INCOME,PIX,True
Viagem e hospedagem,630.25,2024-01-20,EXPENSE,BANK_TRANSFER,False
Combustivel,134.04,2024-01-20,EXPENSE,BANK_TRANSFER,False
Transferencia recebida,1284.23,2024-01-20,INCOME,PIX,False
Pagamento freelance,2097.53,2024-01-20,INCOME,BANK_TRANSFER,False
Aluguel residencial,2240.02,2024-01-20,EXPENSE,DEBIT_CARD,True
Pet shop,244.43,2024-01-21,EXPENSE,CASH,False
Conta de energia,460.57,2024-01-21,EXPENSE,CREDIT_CARD,True
Conta de energia,407.48,2024-01-21,EXPENSE,BANK_TRANSFER,False
Aluguel recebido,1825.79,2024-01-21,INCOME,BANK_TRANSFER,True
Eletronicos,1515.04,2024-01-21,EXPENSE,BOLETO,False
Rendimento de investimento,395.12,2024-01-21,INCOME,BANK_TRANSFER,True
Pet shop,350.14,2024-01-22,EXPENSE,PIX,False
Internet residencial,100.55,2024-01-22,EXPENSE,CASH,True
Bonus profissional,2554.46,2024-01-22,INCOME,BANK_TRANSFER,False
Reembolso empresarial,349.28,2024-01-22,INCOME,PIX,False
Cinema e lazer,87.33,2024-01-22,EXPENSE,CASH,False
Seguro do veiculo,166.49,2024-01-22,EXPENSE,BOLETO,True
Academia,198.1,2024-01-22,EXPENSE,CREDIT_CARD,True
Delivery de comida,50.93,2024-01-22,EXPENSE,BOLETO,False
Passagem aerea,1887.15,2024-01-22,EXPENSE,CREDIT_CARD,False
Farmacia,123.73,2024-01-22,EXPENSE,CREDIT_CARD,False
Estacionamento,55.92,2024-01-22,EXPENSE,DEBIT_CARD,False
Aluguel residencial,2792.4,2024-01-22,EXPENSE,BANK_TRANSFER,True
Doacao,235.35,2024-01-22,EXPENSE,CASH,False
Farmacia,251.42,2024-01-23,EXPENSE,CASH,False
Conta de energia,541.32,2024-01-23,EXPENSE,CASH,False
Venda de produto,1695.09,2024-01-23,INCOME,PIX,False
Doacao,244.31,2024-01-23,EXPENSE,DEBIT_CARD,False
Bonus profissional,1641.09,2024-01-23,INCOME,PIX,False
Veterinario,232.97,2024-01-23,EXPENSE,DEBIT_CARD,False
Pet shop,89.16,2024-01-23,EXPENSE,PIX,False
Seguro do veiculo,355.56,2024-01-23,EXPENSE,BANK_TRANSFER,True
Transferencia recebida,1626.24,2024-01-23,INCOME,BANK_TRANSFER,False
Plano de saude,709.27,2024-01-23,EXPENSE,DEBIT_CARD,True
Bonus profissional,4313.12,2024-01-23,INCOME,PIX,False
Doacao,195.87,2024-01-24,EXPENSE,CASH,False
Farmacia,163.97,2024-01-24,EXPENSE,CASH,False
Aluguel residencial,1925.13,2024-01-24,EXPENSE,BANK_TRANSFER,True
Restituicao de imposto,1662.34,2024-01-24,INCOME,PIX,False
Conta de agua,187.06,2024-01-24,EXPENSE,BANK_TRANSFER,True
Eletronicos,2989.32,2024-01-24,EXPENSE,BANK_TRANSFER,False
Impostos e taxas,1206.88,2024-01-24,EXPENSE,PIX,False
Cinema e lazer,87.22,2024-01-24,EXPENSE,BOLETO,False
Salario mensal,6695.6,2024-01-24,INCOME,BANK_TRANSFER,True
Condominio,638.21,2024-01-24,EXPENSE,PIX,False
Restaurante,119.46,2024-01-24,EXPENSE,CASH,False
Viagem e hospedagem,1840.14,2024-01-25,EXPENSE,DEBIT_CARD,False
Condominio,355.95,2024-01-25,EXPENSE,BOLETO,True
Conta de energia,249.47,2024-01-25,EXPENSE,BANK_TRANSFER,True
Restituicao de imposto,2379.93,2024-01-25,INCOME,PIX,False
Delivery de comida,118.72,2024-01-25,EXPENSE,BANK_TRANSFER,False
Curso online,286.83,2024-01-25,EXPENSE,CREDIT_CARD,False
Academia,94.69,2024-01-25,EXPENSE,BOLETO,True
Academia,163.62,2024-01-25,EXPENSE,BANK_TRANSFER,True
Delivery de comida,40.06,2024-01-25,EXPENSE,BANK_TRANSFER,False
Pagamento freelance,3109.81,2024-01-25,INCOME,BANK_TRANSFER,False
Curso online,287.69,2024-01-26,EXPENSE,CASH,False
Reembolso empresarial,132.08,2024-01-26,INCOME,PIX,False
Seguro do veiculo,158.86,2024-01-26,EXPENSE,CREDIT_CARD,False
Pagamento freelance,1598.87,2024-01-26,INCOME,BANK_TRANSFER,False
Impostos e taxas,1287.3,2024-01-26,EXPENSE,BANK_TRANSFER,False
Conta de agua,205.69,2024-01-26,EXPENSE,BANK_TRANSFER,True
Bonus profissional,1922.85,2024-01-26,INCOME,BANK_TRANSFER,False
Internet residencial,177.06,2024-01-26,EXPENSE,BANK_TRANSFER,True
Farmacia,83.21,2024-01-26,EXPENSE,PIX,False
Livraria,63.73,2024-01-26,EXPENSE,BOLETO,False
Livraria,82.89,2024-01-26,EXPENSE,CASH,False
Padaria,50.79,2024-01-27,EXPENSE,BANK_TRANSFER,False
Impostos e taxas,595.56,2024-01-27,EXPENSE,CREDIT_CARD,False
Seguro do veiculo,195.42,2024-01-27,EXPENSE,DEBIT_CARD,True
Restaurante,110.77,2024-01-27,EXPENSE,DEBIT_CARD,False
Supermercado,274.45,2024-01-27,EXPENSE,BANK_TRANSFER,False
Livraria,138.48,2024-01-27,EXPENSE,BOLETO,False
Livraria,43.55,2024-01-27,EXPENSE,DEBIT_CARD,False
Condominio,726.43,2024-01-27,EXPENSE,CREDIT_CARD,True
Aluguel recebido,2468.25,2024-01-27,INCOME,PIX,True
Pet shop,147.06,2024-01-27,EXPENSE,BOLETO,False
Aluguel recebido,2588.26,2024-01-27,INCOME,PIX,True
Passagem aerea,735.95,2024-01-27,EXPENSE,CREDIT_CARD,False
Manutencao do veiculo,1090.93,2024-01-27,EXPENSE,CASH,False
Viagem e hospedagem,2240.86,2024-01-27,EXPENSE,BANK_TRANSFER,False
Streaming,45.1,2024-01-27,EXPENSE,BOLETO,True
Academia,170.88,2024-01-27,EXPENSE,CREDIT_CARD,True
Salario mensal,8807.17,2024-01-27,INCOME,BANK_TRANSFER,True
Venda de produto,915.12,2024-01-27,INCOME,BANK_TRANSFER,False
Venda de produto,733.61,2024-01-28,INCOME,BANK_TRANSFER,False
Padaria,27.71,2024-01-28,EXPENSE,CREDIT_CARD,False
Conta de agua,96.6,2024-01-28,EXPENSE,PIX,True
Rendimento de investimento,510.83,2024-01-28,INCOME,BANK_TRANSFER,True
Delivery de comida,115.11,2024-01-28,EXPENSE,DEBIT_CARD,False
Aluguel recebido,1704.2,2024-01-28,INCOME,PIX,True
Condominio,494.5,2024-01-28,EXPENSE,BOLETO,True
Academia,152.33,2024-01-28,EXPENSE,BANK_TRANSFER,True
Loja de roupas,477.58,2024-01-28,EXPENSE,BANK_TRANSFER,False
Curso online,259.64,2024-01-28,EXPENSE,CASH,False
Conta de agua,214.27,2024-01-29,EXPENSE,CASH,True
Manutencao do veiculo,1639.46,2024-01-29,EXPENSE,DEBIT_CARD,False
Condominio,530.41,2024-01-29,EXPENSE,BANK_TRANSFER,False
Condominio,438.22,2024-01-29,EXPENSE,PIX,True
Streaming,61.0,2024-01-29,EXPENSE,PIX,True
Passagem aerea,1813.79,2024-01-29,EXPENSE,CREDIT_CARD,False
Internet residencial,108.58,2024-01-29,EXPENSE,BOLETO,True
Dividendos,424.57,2024-01-29,INCOME,PIX,True
Transferencia recebida,1534.45,2024-01-29,INCOME,BANK_TRANSFER,False
Dividendos,189.11,2024-01-29,INCOME,PIX,True
Transferencia recebida,1043.44,2024-01-30,INCOME,PIX,False
Venda de produto,992.78,2024-01-30,INCOME,PIX,False
Viagem e hospedagem,966.71,2024-01-30,EXPENSE,BOLETO,False
Conta de agua,162.97,2024-01-30,EXPENSE,PIX,True
Veterinario,143.29,2024-01-30,EXPENSE,CREDIT_CARD,False
Internet residencial,139.02,2024-01-30,EXPENSE,BANK_TRANSFER,True
Supermercado,188.87,2024-01-30,EXPENSE,DEBIT_CARD,False
Pagamento freelance,3164.94,2024-01-30,INCOME,BANK_TRANSFER,False
Reembolso empresarial,161.59,2024-01-30,INCOME,BANK_TRANSFER,False
Restituicao de imposto,903.95,2024-01-30,INCOME,PIX,False
Cinema e lazer,77.55,2024-01-31,EXPENSE,CASH,False
Passagem aerea,1224.44,2024-01-31,EXPENSE,CASH,False
Passagem aerea,1353.08,2024-01-31,EXPENSE,BOLETO,False
Aluguel residencial,1740.07,2024-01-31,EXPENSE,BANK_TRANSFER,True
Restaurante,89.91,2024-01-31,EXPENSE,DEBIT_CARD,False
Restaurante,169.86,2024-01-31,EXPENSE,DEBIT_CARD,False
Conta de energia,418.0,2024-01-31,EXPENSE,DEBIT_CARD,True
Condominio,631.82,2024-01-31,EXPENSE,BOLETO,True
Rendimento de investimento,313.56,2024-01-31,INCOME,BANK_TRANSFER,True
Conta de agua,177.63,2024-02-01,EXPENSE,BOLETO,False
Delivery de comida,89.55,2024-02-01,EXPENSE,CREDIT_CARD,False
Streaming,55.36,2024-02-01,EXPENSE,CREDIT_CARD,True
Streaming,36.6,2024-02-01,EXPENSE,CASH,False
Seguro do veiculo,416.6,2024-02-01,EXPENSE,CREDIT_CARD,False
Padaria,53.64,2024-02-01,EXPENSE,CREDIT_CARD,False
Restaurante,129.01,2024-02-01,EXPENSE,BANK_TRANSFER,False
Restaurante,135.47,2024-02-01,EXPENSE,DEBIT_CARD,False
Conta de energia,347.82,2024-02-01,EXPENSE,CASH,True
Aluguel residencial,1897.75,2024-02-01,EXPENSE,CASH,True
Curso online,204.12,2024-02-01,EXPENSE,DEBIT_CARD,False
Livraria,99.62,2024-02-01,EXPENSE,CREDIT_CARD,False
Salario mensal,7520.28,2024-02-01,INCOME,BANK_TRANSFER,True
Combustivel,182.78,2024-02-01,EXPENSE,CREDIT_CARD,False
Viagem e hospedagem,1515.21,2024-02-02,EXPENSE,CASH,False
Curso online,165.69,2024-02-02,EXPENSE,BANK_TRANSFER,False
Bonus profissional,1441.44,2024-02-02,INCOME,BANK_TRANSFER,False
Pagamento freelance,2934.77,2024-02-02,INCOME,BANK_TRANSFER,False
Loja de roupas,399.09,2024-02-02,EXPENSE,BOLETO,False
Condominio,510.44,2024-02-02,EXPENSE,CREDIT_CARD,True
Plano de celular,90.0,2024-02-02,EXPENSE,DEBIT_CARD,True
Pet shop,134.12,2024-02-02,EXPENSE,DEBIT_CARD,False
Transferencia recebida,1928.47,2024-02-02,INCOME,BANK_TRANSFER,False
Manutencao do veiculo,380.82,2024-02-03,EXPENSE,BANK_TRANSFER,False
Impostos e taxas,453.96,2024-02-03,EXPENSE,CREDIT_CARD,False
Reembolso empresarial,514.35,2024-02-03,INCOME,PIX,False
Cinema e lazer,144.45,2024-02-03,EXPENSE,CREDIT_CARD,False
Viagem e hospedagem,1460.73,2024-02-03,EXPENSE,CASH,False
Seguro do veiculo,296.71,2024-02-03,EXPENSE,BOLETO,True
Plano de celular,72.21,2024-02-03,EXPENSE,BOLETO,True
Doacao,292.81,2024-02-03,EXPENSE,DEBIT_CARD,False
Manutencao do veiculo,1615.17,2024-02-03,EXPENSE,CREDIT_CARD,False
Aluguel recebido,2426.01,2024-02-03,INCOME,PIX,True
Curso online,482.27,2024-02-03,EXPENSE,BANK_TRANSFER,False
Eletronicos,3453.6,2024-02-03,EXPENSE,BOLETO,False
Conta de agua,66.94,2024-02-03,EXPENSE,CREDIT_CARD,True
Aplicativo de transporte,25.59,2024-02-03,EXPENSE,BOLETO,False
Dividendos,266.96,2024-02-04,INCOME,BANK_TRANSFER,True
Condominio,394.15,2024-02-04,EXPENSE,CREDIT_CARD,True
Supermercado,364.11,2024-02-04,EXPENSE,CASH,False
Venda de produto,869.91,2024-02-04,INCOME,PIX,False
Combustivel,153.97,2024-02-04,EXPENSE,CREDIT_CARD,False
Restituicao de imposto,952.46,2024-02-04,INCOME,PIX,False
Restituicao de imposto,2489.24,2024-02-04,INCOME,BANK_TRANSFER,False
Curso online,294.52,2024-02-04,EXPENSE,CASH,False
Aplicativo de transporte,58.82,2024-02-04,EXPENSE,CASH,False
Passagem aerea,1202.39,2024-02-04,EXPENSE,BANK_TRANSFER,False
Manutencao do veiculo,483.65,2024-02-04,EXPENSE,CASH,False
Seguro do veiculo,312.06,2024-02-05,EXPENSE,DEBIT_CARD,True
Livraria,67.77,2024-02-05,EXPENSE,CREDIT_CARD,False
Cinema e lazer,107.42,2024-02-05,EXPENSE,PIX,False
Eletronicos,2370.05,2024-02-05,EXPENSE,DEBIT_CARD,False
Livraria,46.61,2024-02-05,EXPENSE,BANK_TRANSFER,False
Internet residencial,124.98,2024-02-05,EXPENSE,BANK_TRANSFER,True
Aluguel residencial,2370.1,2024-02-05,EXPENSE,BANK_TRANSFER,False
Veterinario,224.69,2024-02-05,EXPENSE,BOLETO,False
Passagem aerea,1498.09,2024-02-05,EXPENSE,DEBIT_CARD,False
Passagem aerea,1066.06,2024-02-05,EXPENSE,BANK_TRANSFER,False
Dividendos,538.55,2024-02-05,INCOME,PIX,True
Condominio,425.01,2024-02-06,EXPENSE,BOLETO,True
Condominio,703.17,2024-02-06,EXPENSE,BANK_TRANSFER,True
Supermercado,381.2,2024-02-06,EXPENSE,BOLETO,False
Transferencia recebida,1694.18,2024-02-06,INCOME,PIX,False
Restaurante,187.17,2024-02-06,EXPENSE,BANK_TRANSFER,False
Internet residencial,109.8,2024-02-06,EXPENSE,DEBIT_CARD,True
Streaming,51.83,2024-02-06,EXPENSE,PIX,True
Delivery de comida,68.46,2024-02-06,EXPENSE,PIX,False
Condominio,719.92,2024-02-06,EXPENSE,DEBIT_CARD,False
Seguro do veiculo,255.57,2024-02-06,EXPENSE,CREDIT_CARD,True
Pagamento freelance,1925.73,2024-02-06,INCOME,BANK_TRANSFER,False
Cinema e lazer,93.14,2024-02-06,EXPENSE,CREDIT_CARD,False
Aluguel recebido,1578.89,2024-02-07,INCOME,PIX,True
Rendimento de investimento,295.74,2024-02-07,INCOME,PIX,False
Streaming,36.12,2024-02-07,EXPENSE,DEBIT_CARD,True
