description,amount,date,type,payment_method,recurrent
Manutencao do veiculo,811.57,2024-01-08,EXPENSE,DEBIT_CARD,false
Manutencao do veiculo,289.52,2024-01-08,EXPENSE,BOLETO,false
Pet shop,141.41,2024-01-08,EXPENSE,CASH,false
Pet shop,226.29,2024-01-08,EXPENSE,DEBIT_CARD,false
Aplicativo de transporte,18.29,2024-01-09,EXPENSE,DEBIT_CARD,false
Curso online,657.62,2024-01-09,EXPENSE,BOLETO,false
Doacao,359.44,2024-01-09,EXPENSE,CREDIT_CARD,false
Estacionamento,25.88,2024-01-09,EXPENSE,DEBIT_CARD,false
Impostos e taxas,523.05,2024-01-09,EXPENSE,CREDIT_CARD,false
Passagem aerea,1504.57,2024-01-09,EXPENSE,PIX,false
Passagem aerea,1645.83,2024-01-09,EXPENSE,CREDIT_CARD,false
Plano de celular,74.68,2024-01-09,EXPENSE,BOLETO,true
Plano de saude,939.24,2024-01-09,EXPENSE,CREDIT_CARD,true
Seguro do veiculo,127.54,2024-01-09,EXPENSE,PIX,true
Viagem e hospedagem,3666.52,2024-01-09,EXPENSE,CASH,false
Pagamento freelance,2738.08,2024-01-09,INCOME,PIX,false
Combustivel,207.61,2024-01-10,EXPENSE,PIX,false
Combustivel,356.31,2024-01-10,EXPENSE,DEBIT_CARD,false
Doacao,444.72,2024-01-10,EXPENSE,CASH,false
Farmacia,100.00,2024-01-10,EXPENSE,CASH,false
Loja de roupas,143.53,2024-01-10,EXPENSE,CREDIT_CARD,false
Plano de celular,96.24,2024-01-10,EXPENSE,PIX,true
Veterinario,203.90,2024-01-10,EXPENSE,CASH,false
Aluguel recebido,2829.13,2024-01-10,INCOME,PIX,true
Aluguel residencial,2657.03,2024-01-11,EXPENSE,PIX,true
Aplicativo de transporte,81.46,2024-01-11,EXPENSE,DEBIT_CARD,false
Condominio,792.04,2024-01-11,EXPENSE,PIX,true
Conta de agua,171.28,2024-01-11,EXPENSE,BANK_TRANSFER,true
Conta de energia,596.13,2024-01-11,EXPENSE,DEBIT_CARD,true
Doacao,471.96,2024-01-11,EXPENSE,CREDIT_CARD,false
Doacao,393.00,2024-01-11,EXPENSE,CASH,false
Farmacia,23.44,2024-01-11,EXPENSE,DEBIT_CARD,false
Impostos e taxas,1684.00,2024-01-11,EXPENSE,BOLETO,false
Livraria,180.84,2024-01-11,EXPENSE,CREDIT_CARD,false
Manutencao do veiculo,691.19,2024-01-11,EXPENSE,CASH,false
Plano de saude,988.41,2024-01-11,EXPENSE,DEBIT_CARD,true
Restaurante,65.41,2024-01-11,EXPENSE,PIX,false
Seguro do veiculo,252.90,2024-01-11,EXPENSE,BOLETO,true
Streaming,35.18,2024-01-11,EXPENSE,BOLETO,true
Transferencia recebida,1756.54,2024-01-11,INCOME,BANK_TRANSFER,false
Cinema e lazer,194.93,2024-01-12,EXPENSE,CREDIT_CARD,false
Combustivel,230.14,2024-01-12,EXPENSE,BANK_TRANSFER,false
Condominio,1277.56,2024-01-12,EXPENSE,CASH,true
Passagem aerea,919.21,2024-01-12,EXPENSE,BOLETO,false
Supermercado,47.64,2024-01-12,EXPENSE,CREDIT_CARD,false
Dividendos,68.01,2024-01-12,INCOME,BANK_TRANSFER,true
Dividendos,374.32,2024-01-12,INCOME,BANK_TRANSFER,true
Restituicao de imposto,288.16,2024-01-12,INCOME,BANK_TRANSFER,false
Transferencia recebida,1505.41,2024-01-12,INCOME,PIX,false
Academia,183.80,2024-01-13,EXPENSE,CREDIT_CARD,true
Aplicativo de transporte,62.01,2024-01-13,EXPENSE,CREDIT_CARD,false
Cinema e lazer,198.05,2024-01-13,EXPENSE,DEBIT_CARD,false
Conta de agua,43.52,2024-01-13,EXPENSE,PIX,false
Conta de agua,37.94,2024-01-13,EXPENSE,BOLETO,true
Delivery de comida,53.61,2024-01-13,EXPENSE,DEBIT_CARD,false
Internet residencial,195.78,2024-01-13,EXPENSE,CREDIT_CARD,true
Internet residencial,134.25,2024-01-13,EXPENSE,PIX,true
Pet shop,222.44,2024-01-13,EXPENSE,DEBIT_CARD,false
Plano de celular,99.56,2024-01-13,EXPENSE,CASH,true
Restaurante,42.57,2024-01-13,EXPENSE,PIX,false
Seguro do veiculo,213.92,2024-01-13,EXPENSE,DEBIT_CARD,true
Streaming,21.03,2024-01-13,EXPENSE,PIX,true
Veterinario,584.21,2024-01-13,EXPENSE,BANK_TRANSFER,false
Aluguel recebido,1138.54,2024-01-13,INCOME,BANK_TRANSFER,true
Reembolso empresarial,628.25,2024-01-13,INCOME,PIX,false
Academia,197.93,2024-01-14,EXPENSE,CASH,true
Cinema e lazer,195.33,2024-01-14,EXPENSE,CREDIT_CARD,false
Condominio,901.69,2024-01-14,EXPENSE,BOLETO,false
Eletronicos,4366.06,2024-01-14,EXPENSE,PIX,false
Estacionamento,8.20,2024-01-14,EXPENSE,CREDIT_CARD,false
Farmacia,350.93,2024-01-14,EXPENSE,DEBIT_CARD,false
Restaurante,182.95,2024-01-14,EXPENSE,PIX,false
Seguro do veiculo,535.86,2024-01-14,EXPENSE,CREDIT_CARD,true
Salario mensal,11147.16,2024-01-14,INCOME,BANK_TRANSFER,true
Aplicativo de transporte,86.95,2024-01-15,EXPENSE,CREDIT_CARD,false
Combustivel,81.45,2024-01-15,EXPENSE,DEBIT_CARD,false
Eletronicos,4845.40,2024-01-15,EXPENSE,CASH,false
Eletronicos,94.31,2024-01-15,EXPENSE,CREDIT_CARD,false
Impostos e taxas,513.97,2024-01-15,EXPENSE,BANK_TRANSFER,false
Livraria,100.25,2024-01-15,EXPENSE,BOLETO,false
Padaria,58.54,2024-01-15,EXPENSE,CREDIT_CARD,false
Padaria,33.08,2024-01-15,EXPENSE,PIX,false
Padaria,55.36,2024-01-15,EXPENSE,CASH,false
Plano de saude,1240.94,2024-01-15,EXPENSE,BANK_TRANSFER,true
Restituicao de imposto,845.24,2024-01-15,INCOME,BANK_TRANSFER,false
Venda de produto,980.43,2024-01-15,INCOME,BANK_TRANSFER,false
Venda de produto,1717.50,2024-01-15,INCOME,PIX,false
Cinema e lazer,89.42,2024-01-16,EXPENSE,BOLETO,false
Cinema e lazer,195.21,2024-01-16,EXPENSE,BOLETO,false
Combustivel,278.37,2024-01-16,EXPENSE,DEBIT_CARD,false
Conta de agua,127.16,2024-01-16,EXPENSE,BOLETO,false
Conta de agua,163.59,2024-01-16,EXPENSE,BOLETO,true
Curso online,169.10,2024-01-16,EXPENSE,CASH,false
Delivery de comida,137.12,2024-01-16,EXPENSE,BANK_TRANSFER,false
Estacionamento,49.06,2024-01-16,EXPENSE,PIX,false
Estacionamento,8.61,2024-01-16,EXPENSE,DEBIT_CARD,false
Farmacia,133.50,2024-01-16,EXPENSE,CASH,false
Internet residencial,125.05,2024-01-16,EXPENSE,CASH,true
Livraria,111.79,2024-01-16,EXPENSE,PIX,false
Livraria,223.96,2024-01-16,EXPENSE,PIX,false
Passagem aerea,2556.09,2024-01-16,EXPENSE,BOLETO,false
Pet shop,264.14,2024-01-16,EXPENSE,DEBIT_CARD,false
Streaming,71.29,2024-01-16,EXPENSE,CASH,true
Veterinario,280.08,2024-01-16,EXPENSE,BANK_TRANSFER,false
Academia,109.97,2024-01-17,EXPENSE,BANK_TRANSFER,true
Aplicativo de transporte,36.38,2024-01-17,EXPENSE,PIX,false
Cinema e lazer,188.10,2024-01-17,EXPENSE,BOLETO,false
Combustivel,277.38,2024-01-17,EXPENSE,PIX,false
Combustivel,227.79,2024-01-17,EXPENSE,BOLETO,false
Condominio,963.51,2024-01-17,EXPENSE,CREDIT_CARD,true
Livraria,169.85,2024-01-17,EXPENSE,BANK_TRANSFER,false
Seguro do veiculo,199.40,2024-01-17,EXPENSE,CASH,true
Streaming,60.49,2024-01-17,EXPENSE,CASH,true
Supermercado,57.47,2024-01-17,EXPENSE,DEBIT_CARD,false
Reembolso empresarial,163.62,2024-01-17,INCOME,BANK_TRANSFER,false
Cinema e lazer,170.21,2024-01-18,EXPENSE,CREDIT_CARD,false
Cinema e lazer,174.80,2024-01-18,EXPENSE,CREDIT_CARD,false
Combustivel,106.05,2024-01-18,EXPENSE,CREDIT_CARD,false
Curso online,736.88,2024-01-18,EXPENSE,PIX,false
Curso online,613.76,2024-01-18,EXPENSE,CREDIT_CARD,false
Delivery de comida,104.57,2024-01-18,EXPENSE,DEBIT_CARD,false
Livraria,49.70,2024-01-18,EXPENSE,BANK_TRANSFER,false
Salario mensal,6557.51,2024-01-18,INCOME,PIX,true
Academia,147.26,2024-01-19,EXPENSE,CASH,true
Aplicativo de transporte,92.15,2024-01-19,EXPENSE,CREDIT_CARD,false
Combustivel,97.57,2024-01-19,EXPENSE,BOLETO,false
Pet shop,226.49,2024-01-19,EXPENSE,PIX,false
Plano de saude,260.50,2024-01-19,EXPENSE,DEBIT_CARD,true
Veterinario,178.45,2024-01-19,EXPENSE,BANK_TRANSFER,false
Reembolso empresarial,647.77,2024-01-19,INCOME,BANK_TRANSFER,false
Academia,187.50,2024-01-20,EXPENSE,CREDIT_CARD,true
Condominio,1059.44,2024-01-20,EXPENSE,PIX,true
Condominio,519.40,2024-01-20,EXPENSE,DEBIT_CARD,true
Curso online,287.90,2024-01-20,EXPENSE,BOLETO,false
Estacionamento,8.52,2024-01-20,EXPENSE,CREDIT_CARD,false
Farmacia,286.17,2024-01-20,EXPENSE,CASH,false
Internet residencial,205.41,2024-01-20,EXPENSE,BANK_TRANSFER,true
Livraria,45.82,2024-01-20,EXPENSE,BOLETO,false
Loja de roupas,120.37,2024-01-20,EXPENSE,CASH,false
Manutencao do veiculo,781.25,2024-01-20,EXPENSE,CASH,false
Padaria,71.12,2024-01-20,EXPENSE,CREDIT_CARD,false
Passagem aerea,2506.10,2024-01-20,EXPENSE,BANK_TRANSFER,false
Plano de celular,65.12,2024-01-20,EXPENSE,DEBIT_CARD,true
Plano de saude,1278.55,2024-01-20,EXPENSE,CREDIT_CARD,true
Plano de saude,836.74,2024-01-20,EXPENSE,BOLETO,true
Viagem e hospedagem,1258.01,2024-01-20,EXPENSE,BOLETO,false
Restituicao de imposto,674.64,2024-01-20,INCOME,PIX,false
Restituicao de imposto,1150.95,2024-01-20,INCOME,BANK_TRANSFER,false
Salario mensal,9667.89,2024-01-20,INCOME,BANK_TRANSFER,true
Venda de produto,1071.70,2024-01-20,INCOME,BANK_TRANSFER,false
Academia,186.54,2024-01-21,EXPENSE,BOLETO,true
Academia,91.07,2024-01-21,EXPENSE,BANK_TRANSFER,true
Conta de agua,206.29,2024-01-21,EXPENSE,CREDIT_CARD,false
Loja de roupas,192.71,2024-01-21,EXPENSE,DEBIT_CARD,false
Manutencao do veiculo,752.12,2024-01-21,EXPENSE,BOLETO,false
Manutencao do veiculo,2286.08,2024-01-21,EXPENSE,CASH,false
Restaurante,179.23,2024-01-21,EXPENSE,DEBIT_CARD,false
Seguro do veiculo,160.94,2024-01-21,EXPENSE,DEBIT_CARD,false
Cinema e lazer,224.56,2024-01-22,EXPENSE,PIX,false
Cinema e lazer,52.10,2024-01-22,EXPENSE,BOLETO,false
Doacao,38.00,2024-01-22,EXPENSE,PIX,false
Doacao,324.55,2024-01-22,EXPENSE,CASH,false
Manutencao do veiculo,1538.10,2024-01-22,EXPENSE,CREDIT_CARD,false
Veterinario,724.85,2024-01-22,EXPENSE,CASH,false
Pagamento freelance,1443.40,2024-01-22,INCOME,PIX,false
Doacao,90.65,2024-01-23,EXPENSE,PIX,false
Impostos e taxas,1955.43,2024-01-23,EXPENSE,BOLETO,false
Seguro do veiculo,313.20,2024-01-23,EXPENSE,DEBIT_CARD,false
Seguro do veiculo,166.32,2024-01-23,EXPENSE,CASH,false
Supermercado,562.63,2024-01-23,EXPENSE,PIX,false
Veterinario,104.93,2024-01-23,EXPENSE,CASH,false
Aluguel recebido,3237.89,2024-01-23,INCOME,BANK_TRANSFER,true
Transferencia recebida,1108.78,2024-01-23,INCOME,PIX,false
Academia,234.87,2024-01-24,EXPENSE,BANK_TRANSFER,true
Combustivel,106.20,2024-01-24,EXPENSE,DEBIT_CARD,false
Combustivel,333.04,2024-01-24,EXPENSE,BANK_TRANSFER,false
Conta de agua,184.62,2024-01-24,EXPENSE,BANK_TRANSFER,true
Conta de energia,486.42,2024-01-24,EXPENSE,CASH,true
Doacao,400.29,2024-01-24,EXPENSE,PIX,false
Loja de roupas,774.39,2024-01-24,EXPENSE,BOLETO,false
Manutencao do veiculo,934.18,2024-01-24,EXPENSE,BOLETO,false
Supermercado,424.15,2024-01-24,EXPENSE,CASH,false
Dividendos,164.49,2024-01-24,INCOME,PIX,true
Pagamento freelance,4307.27,2024-01-24,INCOME,BANK_TRANSFER,false
Pagamento freelance,1684.87,2024-01-24,INCOME,BANK_TRANSFER,false
Restituicao de imposto,518.97,2024-01-24,INCOME,PIX,false
Salario mensal,4039.04,2024-01-24,INCOME,PIX,true
Transferencia recebida,1198.12,2024-01-24,INCOME,BANK_TRANSFER,false
Transferencia recebida,526.63,2024-01-24,INCOME,BANK_TRANSFER,false
Venda de produto,84.00,2024-01-24,INCOME,BANK_TRANSFER,false
Aluguel residencial,2842.21,2024-01-25,EXPENSE,BANK_TRANSFER,false
Conta de agua,239.28,2024-01-25,EXPENSE,CREDIT_CARD,true
Delivery de comida,107.48,2024-01-25,EXPENSE,BOLETO,false
Eletronicos,4789.58,2024-01-25,EXPENSE,BANK_TRANSFER,false
Internet residencial,94.75,2024-01-25,EXPENSE,DEBIT_CARD,true
Livraria,55.85,2024-01-25,EXPENSE,BANK_TRANSFER,false
Pet shop,78.23,2024-01-25,EXPENSE,CASH,false
Restaurante,36.23,2024-01-25,EXPENSE,BANK_TRANSFER,false
Streaming,56.11,2024-01-25,EXPENSE,CREDIT_CARD,true
Dividendos,505.99,2024-01-25,INCOME,BANK_TRANSFER,true
Dividendos,123.31,2024-01-25,INCOME,PIX,true
Reembolso empresarial,341.32,2024-01-25,INCOME,BANK_TRANSFER,false
Combustivel,281.75,2024-01-26,EXPENSE,DEBIT_CARD,false
Delivery de comida,114.30,2024-01-26,EXPENSE,PIX,false
Doacao,70.63,2024-01-26,EXPENSE,PIX,false
Manutencao do veiculo,1580.10,2024-01-26,EXPENSE,DEBIT_CARD,false
Restaurante,82.64,2024-01-26,EXPENSE,CASH,false
Restaurante,222.31,2024-01-26,EXPENSE,BANK_TRANSFER,false
Viagem e hospedagem,2779.65,2024-01-26,EXPENSE,CREDIT_CARD,false
Academia,63.48,2024-01-27,EXPENSE,BANK_TRANSFER,true
Aplicativo de transporte,51.39,2024-01-27,EXPENSE,DEBIT_CARD,false
Aplicativo de transporte,47.75,2024-01-27,EXPENSE,PIX,false
Aplicativo de transporte,31.42,2024-01-27,EXPENSE,CASH,false
Estacionamento,9.93,2024-01-27,EXPENSE,DEBIT_CARD,false
Plano de celular,94.55,2024-01-27,EXPENSE,CASH,true
Veterinario,432.52,2024-01-27,EXPENSE,PIX,false
Transferencia recebida,1845.23,2024-01-27,INCOME,BANK_TRANSFER,false
Venda de produto,1008.32,2024-01-27,INCOME,BANK_TRANSFER,false
Academia,149.40,2024-01-28,EXPENSE,CREDIT_CARD,false
Conta de energia,220.40,2024-01-28,EXPENSE,CASH,true
Eletronicos,4329.71,2024-01-28,EXPENSE,BANK_TRANSFER,false
Impostos e taxas,1252.00,2024-01-28,EXPENSE,CREDIT_CARD,false
Livraria,272.11,2024-01-28,EXPENSE,PIX,false
Livraria,44.28,2024-01-28,EXPENSE,BOLETO,false
Passagem aerea,2373.22,2024-01-28,EXPENSE,BOLETO,false
Plano de saude,827.93,2024-01-28,EXPENSE,BANK_TRANSFER,true
Veterinario,439.42,2024-01-28,EXPENSE,CREDIT_CARD,false
Reembolso empresarial,127.23,2024-01-28,INCOME,PIX,false
Transferencia recebida,1420.87,2024-01-28,INCOME,PIX,false
Transferencia recebida,648.47,2024-01-28,INCOME,BANK_TRANSFER,false
Transferencia recebida,589.24,2024-01-28,INCOME,PIX,false
Aluguel residencial,2908.49,2024-01-29,EXPENSE,CASH,true
Curso online,332.77,2024-01-29,EXPENSE,CREDIT_CARD,false
Curso online,58.67,2024-01-29,EXPENSE,BANK_TRANSFER,false
Estacionamento,13.42,2024-01-29,EXPENSE,CREDIT_CARD,false
Internet residencial,176.67,2024-01-29,EXPENSE,CREDIT_CARD,true
Manutencao do veiculo,530.21,2024-01-29,EXPENSE,BANK_TRANSFER,false
Manutencao do veiculo,1458.97,2024-01-29,EXPENSE,BOLETO,false
Manutencao do veiculo,2092.12,2024-01-29,EXPENSE,CREDIT_CARD,false
Padaria,58.55,2024-01-29,EXPENSE,PIX,false
Pet shop,418.35,2024-01-29,EXPENSE,DEBIT_CARD,false
Plano de saude,831.85,2024-01-29,EXPENSE,CASH,true
Streaming,36.10,2024-01-29,EXPENSE,CASH,true
Aluguel recebido,1311.51,2024-01-29,INCOME,PIX,true
Venda de produto,1791.91,2024-01-29,INCOME,PIX,false
Academia,267.39,2024-01-30,EXPENSE,CREDIT_CARD,true
Aplicativo de transporte,25.95,2024-01-30,EXPENSE,CASH,false
Aplicativo de transporte,74.18,2024-01-30,EXPENSE,BOLETO,false
Condominio,438.09,2024-01-30,EXPENSE,CASH,true
Conta de energia,488.10,2024-01-30,EXPENSE,CREDIT_CARD,true
Conta de energia,366.95,2024-01-30,EXPENSE,DEBIT_CARD,true
Eletronicos,4729.35,2024-01-30,EXPENSE,PIX,false
Livraria,48.72,2024-01-30,EXPENSE,BOLETO,false
Manutencao do veiculo,955.96,2024-01-30,EXPENSE,BOLETO,false
Padaria,10.14,2024-01-30,EXPENSE,CASH,false
Padaria,20.07,2024-01-30,EXPENSE,DEBIT_CARD,false
Seguro do veiculo,512.08,2024-01-30,EXPENSE,BOLETO,true
Seguro do veiculo,202.81,2024-01-30,EXPENSE,CREDIT_CARD,true
Streaming,69.00,2024-01-30,EXPENSE,DEBIT_CARD,false
Veterinario,446.19,2024-01-30,EXPENSE,BANK_TRANSFER,false
Viagem e hospedagem,2538.77,2024-01-30,EXPENSE,BANK_TRANSFER,false
Salario mensal,6730.69,2024-01-30,INCOME,BANK_TRANSFER,true
Academia,206.35,2024-01-31,EXPENSE,CREDIT_CARD,true
Academia,113.99,2024-01-31,EXPENSE,BOLETO,true
Conta de energia,582.32,2024-01-31,EXPENSE,CASH,true
Curso online,651.01,2024-01-31,EXPENSE,CREDIT_CARD,false
Curso online,146.71,2024-01-31,EXPENSE,BOLETO,false
Estacionamento,30.97,2024-01-31,EXPENSE,PIX,false
Estacionamento,38.45,2024-01-31,EXPENSE,CREDIT_CARD,false
Passagem aerea,1624.90,2024-01-31,EXPENSE,CREDIT_CARD,false
Passagem aerea,1412.85,2024-01-31,EXPENSE,PIX,false
Plano de celular,167.29,2024-01-31,EXPENSE,BANK_TRANSFER,true
Plano de celular,78.27,2024-01-31,EXPENSE,BOLETO,true
Restaurante,199.26,2024-01-31,EXPENSE,BANK_TRANSFER,false
Transferencia recebida,467.30,2024-01-31,INCOME,BANK_TRANSFER,false
Transferencia recebida,788.45,2024-01-31,INCOME,BANK_TRANSFER,false
Cinema e lazer,115.32,2024-02-01,EXPENSE,DEBIT_CARD,false
Combustivel,412.38,2024-02-01,EXPENSE,CREDIT_CARD,false
Condominio,873.43,2024-02-01,EXPENSE,CREDIT_CARD,true
Conta de agua,99.09,2024-02-01,EXPENSE,CREDIT_CARD,true
Conta de agua,125.31,2024-02-01,EXPENSE,CASH,true
Conta de energia,123.56,2024-02-01,EXPENSE,PIX,false
Delivery de comida,36.53,2024-02-01,EXPENSE,CREDIT_CARD,false
Estacionamento,52.91,2024-02-01,EXPENSE,DEBIT_CARD,false
Loja de roupas,269.38,2024-02-01,EXPENSE,CREDIT_CARD,false
Loja de roupas,271.65,2024-02-01,EXPENSE,DEBIT_CARD,false
Padaria,64.56,2024-02-01,EXPENSE,PIX,false
Plano de celular,131.49,2024-02-01,EXPENSE,BANK_TRANSFER,true
Veterinario,818.28,2024-02-01,EXPENSE,PIX,false
Veterinario,297.88,2024-02-01,EXPENSE,BOLETO,false
Aluguel recebido,1431.83,2024-02-01,INCOME,PIX,false
Combustivel,130.52,2024-02-02,EXPENSE,PIX,false
Estacionamento,17.50,2024-02-02,EXPENSE,CREDIT_CARD,false
Impostos e taxas,870.57,2024-02-02,EXPENSE,DEBIT_CARD,false
Impostos e taxas,2035.57,2024-02-02,EXPENSE,BOLETO,false
Internet residencial,93.10,2024-02-02,EXPENSE,CREDIT_CARD,true
Aluguel recebido,3175.03,2024-02-02,INCOME,BANK_TRANSFER,false
Bonus profissional,2000.56,2024-02-02,INCOME,PIX,false
Transferencia recebida,827.72,2024-02-02,INCOME,BANK_TRANSFER,false
Aluguel residencial,2203.59,2024-02-03,EXPENSE,CASH,true
Combustivel,313.94,2024-02-03,EXPENSE,CREDIT_CARD,false
Condominio,1147.50,2024-02-03,EXPENSE,CASH,false
Condominio,619.19,2024-02-03,EXPENSE,CREDIT_CARD,true
Delivery de comida,36.88,2024-02-03,EXPENSE,CREDIT_CARD,false
Doacao,456.86,2024-02-03,EXPENSE,PIX,false
Impostos e taxas,2156.62,2024-02-03,EXPENSE,PIX,false
Internet residencial,181.95,2024-02-03,EXPENSE,BOLETO,true
Passagem aerea,570.46,2024-02-03,EXPENSE,CREDIT_CARD,false
Restaurante,280.84,2024-02-03,EXPENSE,DEBIT_CARD,false
Restaurante,197.99,2024-02-03,EXPENSE,BOLETO,false
Seguro do veiculo,298.38,2024-02-03,EXPENSE,BOLETO,true
Streaming,34.53,2024-02-03,EXPENSE,PIX,true
Supermercado,272.06,2024-02-03,EXPENSE,CREDIT_CARD,false
Supermercado,102.24,2024-02-03,EXPENSE,BANK_TRANSFER,false
Veterinario,589.84,2024-02-03,EXPENSE,BANK_TRANSFER,false
Veterinario,904.96,2024-02-03,EXPENSE,BANK_TRANSFER,false
Aluguel recebido,1069.11,2024-02-03,INCOME,PIX,true
Pagamento freelance,1152.41,2024-02-03,INCOME,PIX,false
Transferencia recebida,1315.97,2024-02-03,INCOME,BANK_TRANSFER,false
Doacao,348.57,2024-02-04,EXPENSE,CASH,false
Farmacia,192.92,2024-02-04,EXPENSE,BOLETO,false
Impostos e taxas,1503.44,2024-02-04,EXPENSE,CASH,false
Impostos e taxas,1997.03,2024-02-04,EXPENSE,BANK_TRANSFER,false
