usuario_id,idade,estado,cidade,renda_mensal_base,nivel_endividamento_base_pct,frequencia_poupanca_declarada,reserva_financeira_inicial,dependentes,objetivo_financeiro,perfil_sintetico_base,split,fonte
USR000061,53,GO,Aparecida de Goiania,1582.76,25.11,BAIXA,5679.46,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000062,29,SP,Sao Paulo,8563.81,38.5,NUNCA,4576.66,0,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000063,39,ES,Cariacica,5266.24,77.25,BAIXA,1513.57,1,RESERVA_EMERGENCIA,EM_RISCO,TRAIN,SINTETICO
USR000064,34,GO,Aparecida de Goiania,7725.21,34.32,MEDIA,8344.88,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000065,37,ES,Serra,4619.89,22.4,MEDIA,12614.66,1,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000066,36,SP,Sorocaba,3677.84,13.35,MEDIA,16591.22,0,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000067,39,CE,Juazeiro do Norte,4120.92,2.78,MEDIA,27870.61,2,QUITAR_DIVIDAS,SAUDAVEL,TRAIN,SINTETICO
USR000068,35,PR,Londrina,2212.63,26.51,BAIXA,7400.34,2,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000069,34,BA,Vitoria da Conquista,5628.72,21.42,MEDIA,21827.59,0,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000070,24,RJ,Niteroi,13140.23,15.87,ALTA,73196.88,0,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000071,46,SP,Sao Paulo,5669.72,27.86,MEDIA,20379.67,2,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000072,34,BA,Salvador,4674.62,27.35,BAIXA,18471.2,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000073,38,DF,Brasilia,6067.7,42.53,MEDIA,15765.06,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000074,42,ES,Vitoria,8077.33,38.98,BAIXA,4102.15,1,APOSENTADORIA,EM_RISCO,VALIDATION,SINTETICO
USR000075,32,CE,Caucaia,5461.66,41.38,BAIXA,10672.5,0,VIAGEM,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000076,19,RS,Caxias do Sul,17479.31,35.45,MEDIA,17951.89,1,COMPRAR_IMOVEL,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000077,37,GO,Anapolis,10618.67,65.51,BAIXA,7112.45,2,VIAGEM,EM_RISCO,TEST,SINTETICO
USR000078,29,RS,Caxias do Sul,4590.17,40.67,MEDIA,2725.52,2,APOSENTADORIA,EM_OBSERVACAO,TEST,SINTETICO
USR000079,54,PR,Maringa,4971.4,23.52,MEDIA,46794.69,2,APOSENTADORIA,SAUDAVEL,TEST,SINTETICO
USR000080,41,PE,Jaboatao,1400.0,38.95,BAIXA,4564.58,3,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000081,38,PE,Recife,8042.99,4.1,ALTA,52773.48,2,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000082,18,PR,Maringa,5393.45,27.69,MEDIA,11259.69,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000083,48,SC,Blumenau,1400.0,43.59,BAIXA,180.26,1,COMPRAR_IMOVEL,EM_RISCO,TRAIN,SINTETICO
USR000084,41,SC,Blumenau,2291.26,38.54,BAIXA,1170.38,2,COMPRAR_IMOVEL,EM_RISCO,TRAIN,SINTETICO
USR000085,28,RJ,Duque de Caxias,12941.82,36.03,MEDIA,26101.61,2,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000086,39,BA,Vitoria da Conquista,5421.35,36.71,MEDIA,13723.87,1,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000087,58,CE,Juazeiro do Norte,12326.08,31.16,MEDIA,15877.33,0,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000088,47,RJ,Rio de Janeiro,1400.0,23.53,BAIXA,3862.54,2,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000089,33,MG,Belo Horizonte,4917.53,50.69,NUNCA,1871.04,1,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000090,30,MG,Belo Horizonte,2956.22,77.57,NUNCA,2782.58,2,ORGANIZAR_ORCAMENTO,EM_RISCO,TRAIN,SINTETICO
USR000091,33,RS,Pelotas,5006.9,47.57,BAIXA,2755.21,1,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000092,53,BA,Feira de Santana,3249.8,42.44,BAIXA,4361.58,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000093,33,BA,Salvador,7332.96,4.99,MEDIA,39085.83,3,VIAGEM,SAUDAVEL,TRAIN,SINTETICO
USR000094,40,BA,Vitoria da Conquista,4215.89,76.13,NUNCA,1420.39,0,COMPRAR_IMOVEL,EM_RISCO,VALIDATION,SINTETICO
USR000095,48,RJ,Niteroi,4483.12,77.52,BAIXA,2938.86,0,COMPRAR_IMOVEL,EM_RISCO,VALIDATION,SINTETICO
USR000096,31,RS,Porto Alegre,8113.9,19.53,ALTA,71076.48,2,ORGANIZAR_ORCAMENTO,SAUDAVEL,VALIDATION,SINTETICO
USR000097,28,RJ,Niteroi,12075.91,7.58,ALTA,58170.52,1,RESERVA_EMERGENCIA,SAUDAVEL,TEST,SINTETICO
USR000098,50,SC,Florianopolis,13036.59,37.47,MEDIA,33536.14,1,APOSENTADORIA,EM_OBSERVACAO,TEST,SINTETICO
USR000099,29,RS,Porto Alegre,1923.9,27.05,MEDIA,4354.02,1,VIAGEM,EM_OBSERVACAO,TEST,SINTETICO
USR000100,37,RJ,Niteroi,3514.59,24.83,MEDIA,7031.3,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000101,38,CE,Juazeiro do Norte,2269.59,29.96,MEDIA,2856.15,1,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000102,45,RJ,Niteroi,7736.29,81.61,BAIXA,7297.45,2,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000103,30,PE,Jaboatao,8137.36,1.7,ALTA,58539.59,1,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000104,39,PR,Londrina,5872.52,20.4,MEDIA,6864.99,2,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000105,25,SC,Florianopolis,17793.78,14.74,ALTA,131220.38,0,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000106,22,BA,Feira de Santana,3953.12,6.26,MEDIA,27241.7,1,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000107,29,GO,Aparecida de Goiania,9007.51,71.29,NUNCA,89.93,3,APOSENTADORIA,EM_RISCO,TRAIN,SINTETICO
USR000108,57,PR,Curitiba,12071.13,22.72,BAIXA,25969.06,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000109,31,RJ,Duque de Caxias,4225.8,26.15,BAIXA,11634.67,1,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000110,41,GO,Goiania,2314.62,46.81,BAIXA,1669.3,2,COMPRAR_IMOVEL,EM_RISCO,TRAIN,SINTETICO
USR000111,41,PE,Jaboatao,1400.0,15.44,MEDIA,9028.64,4,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000112,42,RS,Pelotas,3755.03,43.15,MEDIA,7047.13,0,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000113,41,SC,Joinville,2568.44,72.42,BAIXA,1113.96,3,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000114,34,SC,Blumenau,4002.76,74.78,NUNCA,864.2,0,ORGANIZAR_ORCAMENTO,EM_RISCO,VALIDATION,SINTETICO
USR000115,21,RJ,Rio de Janeiro,2307.76,43.06,BAIXA,8915.16,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000116,47,DF,Brasilia,2534.87,9.3,MEDIA,13613.62,0,RESERVA_EMERGENCIA,SAUDAVEL,VALIDATION,SINTETICO
USR000117,53,PE,Jaboatao,5027.89,42.5,MEDIA,14927.88,2,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TEST,SINTETICO
USR000118,25,SC,Blumenau,8050.85,39.65,BAIXA,24905.12,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TEST,SINTETICO
USR000119,44,MG,Belo Horizonte,3394.76,20.73,MEDIA,24944.4,1,APOSENTADORIA,SAUDAVEL,TEST,SINTETICO
USR000120,57,RS,Pelotas,5445.41,1.0,MEDIA,22490.08,0,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000121,18,RJ,Niteroi,3901.4,73.61,BAIXA,1839.8,0,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000122,51,SC,Joinville,12409.56,52.2,BAIXA,10861.38,0,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000123,18,BA,Vitoria da Conquista,5287.04,47.29,MEDIA,15669.08,2,APOSENTADORIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000124,54,MG,Uberlandia,6112.41,47.37,BAIXA,2590.25,0,APOSENTADORIA,EM_RISCO,TRAIN,SINTETICO
USR000125,41,GO,Aparecida de Goiania,3065.07,38.69,BAIXA,1110.2,1,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000126,51,PE,Jaboatao,4501.74,30.92,BAIXA,6560.88,0,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000127,41,CE,Caucaia,5012.34,51.84,NUNCA,1188.24,2,RESERVA_EMERGENCIA,EM_RISCO,TRAIN,SINTETICO
USR000128,49,RS,Caxias do Sul,6692.24,17.93,ALTA,30513.71,0,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000129,24,MG,Uberlandia,5629.92,22.33,MEDIA,8593.33,1,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000130,18,RJ,Niteroi,4143.63,46.11,NUNCA,3384.48,0,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000131,35,SC,Florianopolis,9907.92,60.21,BAIXA,185.52,1,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000132,19,PR,Maringa,1400.0,44.52,MEDIA,2218.16,3,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000133,18,MG,Belo Horizonte,10391.68,53.96,BAIXA,7384.06,2,ORGANIZAR_ORCAMENTO,EM_RISCO,TRAIN,SINTETICO
USR000134,52,DF,Brasilia,2931.43,46.54,MEDIA,11278.29,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000135,33,BA,Salvador,5320.79,41.62,BAIXA,18206.58,2,RESERVA_EMERGENCIA,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000136,26,PE,Jaboatao,4936.39,21.09,MEDIA,26963.48,0,RESERVA_EMERGENCIA,SAUDAVEL,VALIDATION,SINTETICO
USR000137,45,PE,Olinda,8851.62,33.5,BAIXA,10905.26,2,VIAGEM,EM_OBSERVACAO,TEST,SINTETICO
USR000138,23,SP,Sao Paulo,1830.62,20.28,ALTA,13643.43,3,COMPRAR_IMOVEL,SAUDAVEL,TEST,SINTETICO
USR000139,23,MG,Belo Horizonte,3141.54,40.6,BAIXA,4340.48,1,APOSENTADORIA,EM_OBSERVACAO,TEST,SINTETICO
USR000140,61,GO,Anapolis,9954.44,37.39,BAIXA,21783.76,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000141,46,RS,Porto Alegre,4117.71,42.18,NUNCA,2353.85,0,APOSENTADORIA,EM_RISCO,TRAIN,SINTETICO
USR000142,30,BA,Feira de Santana,8535.34,62.31,BAIXA,5272.46,1,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000143,33,PE,Recife,5676.12,32.29,MEDIA,13051.93,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000144,25,RS,Porto Alegre,4164.06,26.0,MEDIA,11652.89,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000145,29,ES,Cariacica,9616.97,15.06,ALTA,35199.11,0,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000146,59,MG,Belo Horizonte,2280.31,6.98,MEDIA,14427.34,0,QUITAR_DIVIDAS,SAUDAVEL,TRAIN,SINTETICO
USR000147,52,MG,Belo Horizonte,10805.68,47.41,MEDIA,33126.56,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000148,23,PR,Londrina,2121.77,41.85,MEDIA,7867.59,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000149,31,MG,Juiz de Fora,3610.71,22.35,MEDIA,4060.92,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000150,44,RS,Caxias do Sul,3624.28,22.43,MEDIA,12894.85,1,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000151,40,SC,Joinville,2241.86,6.52,MEDIA,12011.98,1,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000152,39,PR,Maringa,3164.28,48.69,BAIXA,763.25,3,ORGANIZAR_ORCAMENTO,EM_RISCO,TRAIN,SINTETICO
USR000153,49,GO,Aparecida de Goiania,4519.83,36.37,MEDIA,5797.6,1,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000154,43,GO,Anapolis,3323.26,65.26,NUNCA,2762.93,1,RESERVA_EMERGENCIA,EM_RISCO,VALIDATION,SINTETICO
USR000155,29,DF,Brasilia,4041.79,29.56,MEDIA,10680.42,2,APOSENTADORIA,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000156,39,SP,Sao Paulo,6123.15,4.51,MEDIA,28324.88,1,VIAGEM,SAUDAVEL,VALIDATION,SINTETICO
USR000157,42,SP,Campinas,6397.14,2.68,ALTA,56806.78,4,COMPRAR_IMOVEL,SAUDAVEL,TEST,SINTETICO
USR000158,40,SC,Joinville,8446.95,19.16,MEDIA,76794.66,0,APOSENTADORIA,SAUDAVEL,TEST,SINTETICO
USR000159,63,DF,Brasilia,3753.54,6.93,ALTA,30847.61,0,COMPRAR_IMOVEL,SAUDAVEL,TEST,SINTETICO
USR000160,21,CE,Fortaleza,6806.7,15.15,MEDIA,25816.18,0,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000161,28,ES,Vitoria,11947.4,30.19,BAIXA,20182.07,0,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000162,18,RJ,Duque de Caxias,6035.37,28.33,MEDIA,23996.41,2,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000163,45,GO,Aparecida de Goiania,14651.56,21.95,ALTA,84709.08,0,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000164,38,RJ,Niteroi,3005.01,4.94,ALTA,15894.04,1,VIAGEM,SAUDAVEL,TRAIN,SINTETICO
USR000165,49,RJ,Niteroi,6760.1,32.82,MEDIA,12006.77,1,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000166,43,PR,Maringa,4157.13,18.8,ALTA,20201.56,3,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000167,35,SC,Blumenau,1586.63,24.41,BAIXA,849.33,2,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000168,18,RS,Porto Alegre,2735.36,43.96,MEDIA,2812.58,0,APOSENTADORIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000169,32,BA,Salvador,4126.8,28.26,MEDIA,10889.53,0,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000170,35,GO,Aparecida de Goiania,1938.08,20.39,ALTA,12365.59,2,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000171,33,MG,Belo Horizonte,5094.09,2.2,ALTA,35393.3,2,ORGANIZAR_ORCAMENTO,SAUDAVEL,TRAIN,SINTETICO
USR000172,52,RS,Caxias do Sul,3560.87,35.96,MEDIA,3417.92,3,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000173,25,PR,Maringa,3023.73,10.14,ALTA,29317.62,1,QUITAR_DIVIDAS,SAUDAVEL,TRAIN,SINTETICO
USR000174,28,PE,Jaboatao,5001.59,11.9,MEDIA,44861.02,2,VIAGEM,SAUDAVEL,VALIDATION,SINTETICO
USR000175,41,PE,Jaboatao,9791.17,61.78,BAIXA,2862.34,0,APOSENTADORIA,EM_RISCO,VALIDATION,SINTETICO
USR000176,36,ES,Vila Velha,8073.67,61.77,BAIXA,4347.1,1,APOSENTADORIA,EM_RISCO,VALIDATION,SINTETICO
USR000177,46,GO,Anapolis,4885.78,2.2,ALTA,31733.97,1,QUITAR_DIVIDAS,SAUDAVEL,TEST,SINTETICO
USR000178,33,CE,Caucaia,8311.49,44.66,MEDIA,21053.93,3,COMPRAR_IMOVEL,EM_OBSERVACAO,TEST,SINTETICO
USR000179,50,SP,Sao Paulo,8614.37,32.15,MEDIA,11283.2,2,APOSENTADORIA,EM_OBSERVACAO,TEST,SINTETICO
USR000180,42,CE,Juazeiro do Norte,7042.13,19.43,MEDIA,65483.68,4,QUITAR_DIVIDAS,SAUDAVEL,TRAIN,SINTETICO
USR000181,43,GO,Goiania,9290.71,30.36,MEDIA,5587.09,2,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000182,30,SC,Florianopolis,5454.57,28.52,MEDIA,8439.27,0,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000183,19,CE,Fortaleza,5561.22,81.7,NUNCA,2275.62,0,VIAGEM,EM_RISCO,TRAIN,SINTETICO
